SKYSCAN_1272 TEST RESULTS 	

Instrument SN: 15G09089-B
Control software version: 1.1.7
X-Ray Source: HAMAMATSU_L11871_20
Emission: 304 hours	
Voltage: 80kV,	 Current: 125uA	 CCD chip:20.4C
Date and Time: Aug 29, 2016  08:49:27

    test start

id	time	intensity	CCD chip
550	01h:04m:00s	46.6%	19.7C
551	01h:04m:07s	46.6%	19.7C
552	01h:04m:14s	46.6%	19.7C
553	01h:04m:21s	46.6%	19.7C
554	01h:04m:28s	46.6%	19.7C
555	01h:04m:35s	46.6%	19.7C
556	01h:04m:43s	46.6%	19.7C
557	01h:04m:49s	46.7%	19.7C
558	01h:04m:56s	46.7%	19.7C
559	01h:05m:03s	46.7%	19.7C
560	01h:05m:10s	46.7%	19.7C
561	01h:05m:17s	46.6%	19.7C
562	01h:05m:24s	46.6%	19.7C
563	01h:05m:31s	46.6%	19.7C
564	01h:05m:38s	46.7%	19.7C
565	01h:05m:46s	46.7%	19.7C
566	01h:05m:52s	46.6%	19.7C
567	01h:05m:59s	46.7%	19.7C
568	01h:06m:06s	46.6%	19.7C
569	01h:06m:13s	46.6%	19.7C
570	01h:06m:20s	46.6%	19.7C
571	01h:06m:27s	46.6%	19.7C
572	01h:06m:34s	46.6%	19.7C
573	01h:06m:41s	46.6%	19.7C
574	01h:06m:49s	46.6%	19.7C
575	01h:06m:56s	46.7%	19.7C
576	01h:07m:03s	46.7%	19.7C
577	01h:07m:10s	46.6%	19.7C
578	01h:07m:17s	46.6%	19.7C
579	01h:07m:24s	46.6%	19.7C
580	01h:07m:31s	46.7%	19.7C
581	01h:07m:38s	46.7%	19.7C
582	01h:07m:45s	46.6%	19.7C
583	01h:07m:52s	46.7%	19.7C
584	01h:07m:59s	46.7%	19.7C
585	01h:08m:06s	46.6%	19.7C
586	01h:08m:14s	46.6%	19.7C
587	01h:08m:21s	46.6%	19.7C
588	01h:08m:27s	46.7%	19.7C
589	01h:08m:34s	46.6%	19.7C
590	01h:08m:41s	46.6%	19.7C
591	01h:08m:48s	46.6%	19.7C
592	01h:08m:55s	46.6%	19.7C
593	01h:09m:02s	46.6%	19.7C
594	01h:09m:09s	46.6%	19.7C
595	01h:09m:17s	46.6%	19.7C
596	01h:09m:24s	46.6%	19.7C
597	01h:09m:31s	46.6%	19.7C
598	01h:09m:38s	46.6%	19.7C
599	01h:09m:45s	46.6%	19.7C
600	01h:09m:52s	46.6%	19.7C
601	01h:09m:59s	46.6%	19.7C

    test end
